"CODE","NAME","DATE","mean","median","sd","min","max"
240980,"Pedro Velho","2016-10-31",0.1825,0.168,0.0746,0.036,0.428
240990,"Pendências","2016-10-31",0.1087,0.108,0.0458,0,0.336
241000,"Pilões","2016-10-31",0.0738,0.076,0.0168,0.04,0.108
241010,"Poço Branco","2016-10-31",0.1107,0.106,0.0399,0.028,0.232
241020,"Portalegre","2016-10-31",0.1594,0.156,0.0586,0.036,0.34
241025,"Porto do Mangue","2016-10-31",0.0792,0.084,0.0453,0,0.356
241030,"Presidente Juscelino","2016-10-31",0.074,0.068,0.0297,0.016,0.2
241040,"Pureza","2016-10-31",0.1685,0.156,0.0759,0.028,0.532
241050,"Rafael Fernandes","2016-10-31",0.1087,0.108,0.0254,0.052,0.168
241060,"Rafael Godeiro","2016-10-31",0.1059,0.104,0.0213,0.056,0.192
241070,"Riacho da Cruz","2016-10-31",0.0996,0.092,0.031,0.048,0.252
241080,"Riacho de Santana","2016-10-31",0.1581,0.156,0.035,0.072,0.296
241090,"Riachuelo","2016-10-31",0.0891,0.088,0.0274,0.028,0.164
241100,"Rodolfo Fernandes","2016-10-31",0.0832,0.08,0.0217,0.044,0.176
241105,"Tibau","2016-10-31",0.1177,0.108,0.0685,0.008,0.408
241110,"Ruy Barbosa","2016-10-31",0.0952,0.096,0.023,0.036,0.156
241120,"Santa Cruz","2016-10-31",0.0933,0.092,0.0265,0.02,0.212
241140,"Santana do Matos","2016-10-31",0.0929,0.084,0.0384,0.008,0.276
241142,"Santana do Seridó","2016-10-31",0.1036,0.1,0.0269,0.052,0.184
241150,"Santo Antônio","2016-10-31",0.0709,0.068,0.0192,0.028,0.132
241160,"São Bento do Norte","2016-10-31",0.091,0.092,0.0309,0.008,0.168
241170,"São Bento do Trairí","2016-10-31",0.0991,0.1,0.0261,0.044,0.184
241180,"São Fernando","2016-10-31",0.0865,0.084,0.0198,0.036,0.168
241190,"São Francisco do Oeste","2016-10-31",0.1138,0.112,0.0263,0.064,0.2
241200,"São Gonçalo do Amarante","2016-10-31",0.216,0.2,0.0901,0.068,0.752
241210,"São João do Sabugi","2016-10-31",0.0956,0.096,0.0224,0.044,0.216
241220,"São José de Mipibu","2016-10-31",0.2523,0.248,0.0818,0.064,0.468
241230,"São José do Campestre","2016-10-31",0.0786,0.076,0.0258,0.024,0.172
241240,"São José do Seridó","2016-10-31",0.0847,0.084,0.0178,0.048,0.16
241250,"São Miguel","2016-10-31",0.1442,0.144,0.0345,0.068,0.296
241255,"São Miguel do Gostoso","2016-10-31",0.1299,0.124,0.0515,0.008,0.32
241260,"São Paulo do Potengi","2016-10-31",0.0828,0.08,0.0267,0.02,0.156
241270,"São Pedro","2016-10-31",0.0892,0.088,0.0282,0.028,0.18
241280,"São Rafael","2016-10-31",0.0803,0.08,0.029,0,0.304
241290,"São Tomé","2016-10-31",0.1041,0.104,0.0265,0.04,0.196
241300,"São Vicente","2016-10-31",0.1121,0.108,0.0321,0.044,0.2
241310,"Senador Elói de Souza","2016-10-31",0.0829,0.076,0.0303,0.024,0.212
241320,"Senador Georgino Avelino","2016-10-31",0.3539,0.372,0.1437,0.012,0.608
241330,"Serra de São Bento","2016-10-31",0.0953,0.096,0.0277,0.032,0.204
241335,"Serra do Mel","2016-10-31",0.1015,0.104,0.0315,0,0.212
241340,"Serra Negra do Norte","2016-10-31",0.1126,0.108,0.03,0.04,0.256
241350,"Serrinha","2016-10-31",0.0698,0.068,0.0189,0.028,0.124
241355,"Serrinha dos Pintos","2016-10-31",0.0936,0.088,0.0406,0.024,0.284
241360,"Severiano Melo","2016-10-31",0.0829,0.08,0.0191,0.044,0.144
241370,"Sítio Novo","2016-10-31",0.094,0.092,0.0267,0.04,0.196
